symbol,exchange,yahoo_ticker,company_name,aliases,sector,isin,scrip_code,source
AMAGI,NSE,AMAGI.NS,Amagi Media Labs,AMAGI|Amagi Media Labs|Amagi Media Labs Limited,,INE121R01077,760740,IIFL_SCRIPMASTER
AMANTA,NSE,AMANTA.NS,Amanta Healthcare,AMANTA|Amanta Healthcare|Amanta Healthcare Limited,,INE084K01015,758909,IIFL_SCRIPMASTER
ARE&M,NSE,ARE&M.NS,Amara Raja Energy Mob,ARE&M|Amara Raja Energy Mob|Amara Raja Energy Mob Limited,,INE885A01032,100,IIFL_SCRIPMASTER
AMBALALSA,NSE,AMBALALSA.NS,Ambalal Sarabhai Ent L,AMBALALSA|Ambalal Sarabhai Ent L,,INE432A01017,762543,IIFL_SCRIPMASTER
AMBER,NSE,AMBER.NS,Amber Enterprises (I),AMBER|Amber Enterprises (I)|Amber Enterprises (I) Limited,,INE371P01015,1185,IIFL_SCRIPMASTER
AMBICAAGAR,NSE,AMBICAAGAR.NS,Ambica Agar & Aromaindltd,AMBICAAGAR|Ambica Agar & Aromaindltd,,INE792B01012,11496,IIFL_SCRIPMASTER
AMBIKCO,NSE,AMBIKCO.NS,Ambika Cotton Mill,AMBIKCO|Ambika Cotton Mill|Ambika Cotton Mill Limited,,INE540G01014,15234,IIFL_SCRIPMASTER
AMBUJACEM,NSE,AMBUJACEM.NS,Ambuja Cements,AMBUJACEM|Ambuja Cements|Ambuja Cements Limited,,INE079A01024,1270,IIFL_SCRIPMASTER
AMDIND,NSE,AMDIND.NS,Amd Industries,AMDIND|Amd Industries|Amd Industries Limited,,INE005I01014,14398,IIFL_SCRIPMASTER
AMNPLST,NSE,AMNPLST.NS,Amines & Plasticizers,AMNPLST|Amines & Plasticizers|Amines & Plasticizers Limited,,INE275D01022,19867,IIFL_SCRIPMASTER
AMIRCHAND,NSE,AMIRCHAND.NS,Amir Chand Jag Kum (E) L,AMIRCHAND|Amir Chand Jag Kum (E) L,,INE05TO01019,761670,IIFL_SCRIPMASTER
AMJLAND,NSE,AMJLAND.NS,Amj Land Holdings,AMJLAND|Amj Land Holdings|Amj Land Holdings Limited,,INE606A01024,2598,IIFL_SCRIPMASTER
AMRUTANJAN,NSE,AMRUTANJAN.NS,Amrutajan Health,AMRUTANJAN|Amrutajan Health|Amrutajan Health Limited,,INE098F01031,17547,IIFL_SCRIPMASTER
ARSSBL,NSE,ARSSBL.NS,Anand Rathi Sh N Stk Br L,ARSSBL|Anand Rathi Sh N Stk Br L,,INE549H01021,759956,IIFL_SCRIPMASTER
ANANDRATHI,NSE,ANANDRATHI.NS,Anand Rathi Wealth,ANANDRATHI|Anand Rathi Wealth|Anand Rathi Wealth Limited,,INE463V01026,7145,IIFL_SCRIPMASTER
ANANTRAJ,NSE,ANANTRAJ.NS,Anant Raj,ANANTRAJ|Anant Raj|Anant Raj Limited,,INE242C01024,13620,IIFL_SCRIPMASTER
ACL,NSE,ACL.NS,Andhra Cements,ACL|Andhra Cements|Andhra Cements Limited,,INE666E01020,15420,IIFL_SCRIPMASTER
ANDHRAPAP,NSE,ANDHRAPAP.NS,Andhra Paper,ANDHRAPAP|Andhra Paper|Andhra Paper Limited,,INE435A01051,166,IIFL_SCRIPMASTER
ANDHRSUGAR,NSE,ANDHRSUGAR.NS,Andhra Sugars,ANDHRSUGAR|Andhra Sugars|Andhra Sugars Limited,,INE715B01021,136,IIFL_SCRIPMASTER
ANGELONE,NSE,ANGELONE.NS,Angel One,ANGELONE|Angel One|Angel One Limited,,INE732I01021,324,IIFL_SCRIPMASTER
