symbol,exchange,yahoo_ticker,company_name,aliases,sector,isin,scrip_code,source
BBETF0432,NSE,BBETF0432.NS,Edelamc - Bbetf0432,BBETF0432|Edelamc - Bbetf0432,,INF754K01OB1,7196,IIFL_SCRIPMASTER
EBANKNIFTY,NSE,EBANKNIFTY.NS,Edelamc - Ebanknifty,EBANKNIFTY|Edelamc - Ebanknifty,,INF754K01TE4,25258,IIFL_SCRIPMASTER
EBBETF0430,NSE,EBBETF0430.NS,Edelamc - Ebbetf0430,EBBETF0430|Edelamc - Ebbetf0430,,INF754K01KO2,16253,IIFL_SCRIPMASTER
EBBETF0431,NSE,EBBETF0431.NS,Edelamc - Ebbetf0431,EBBETF0431|Edelamc - Ebbetf0431,,INF754K01LE1,22239,IIFL_SCRIPMASTER
EBBETF0433,NSE,EBBETF0433.NS,Edelamc - Ebbetf0433,EBBETF0433|Edelamc - Ebbetf0433,,INF754K01QX0,13139,IIFL_SCRIPMASTER
ECAPINSURE,NSE,ECAPINSURE.NS,Edelamc - Ecapinsure,ECAPINSURE|Edelamc - Ecapinsure,,INF754K01TX4,29019,IIFL_SCRIPMASTER
EGOLD,NSE,EGOLD.NS,Edelamc - Egold,EGOLD|Edelamc - Egold,,INF754K01SE6,19933,IIFL_SCRIPMASTER
ELIQUID,NSE,ELIQUID.NS,Edelamc - Eliquid,ELIQUID|Edelamc - Eliquid,,INF754K01VW2,759466,IIFL_SCRIPMASTER
ELM250,NSE,ELM250.NS,Edelamc - Elm250,ELM250|Edelamc - Elm250,,INF754K01VV4,758952,IIFL_SCRIPMASTER
EMULTIMQ,NSE,EMULTIMQ.NS,Edelamc - Emultimq,EMULTIMQ|Edelamc - Emultimq,,INF754K01TF1,25996,IIFL_SCRIPMASTER
ENEXT50,NSE,ENEXT50.NS,Edelamc - Enext50,ENEXT50|Edelamc - Enext50,,INF754K01XF3,763540,IIFL_SCRIPMASTER
ENIFTY,NSE,ENIFTY.NS,Edelamc - Enifty,ENIFTY|Edelamc - Enifty,,INF754K01VX0,759998,IIFL_SCRIPMASTER
ESENSEX,NSE,ESENSEX.NS,Edelamc - Esensex,ESENSEX|Edelamc - Esensex,,INF754K01VY8,759995,IIFL_SCRIPMASTER
ESILVER,NSE,ESILVER.NS,Edelamc - Esilver,ESILVER|Edelamc - Esilver,,INF754K01SF3,20257,IIFL_SCRIPMASTER
EDELWEISS,NSE,EDELWEISS.NS,Edelweiss Fin Serv,EDELWEISS|Edelweiss Fin Serv|Edelweiss Fin Serv Limited,,INE532F01054,15119,IIFL_SCRIPMASTER
EFCIL,NSE,EFCIL.NS,Efc (I),EFCIL|Efc (I)|Efc (I) Limited,,INE886D01026,758675,IIFL_SCRIPMASTER
EICHERMOT,NSE,EICHERMOT.NS,Eicher Motors,EICHERMOT|Eicher Motors|Eicher Motors Limited,,INE066A01021,910,IIFL_SCRIPMASTER
EIDPARRY,NSE,EIDPARRY.NS,Eid Parry India,EIDPARRY|Eid Parry India|Eid Parry India Limited,,INE126A01031,916,IIFL_SCRIPMASTER
EIHOTEL,NSE,EIHOTEL.NS,Eih,EIHOTEL|Eih|Eih Limited,,INE230A01023,919,IIFL_SCRIPMASTER
EIHAHOTELS,NSE,EIHAHOTELS.NS,Eih Associated Hotels,EIHAHOTELS|Eih Associated Hotels|Eih Associated Hotels Limited,,INE276C01014,15399,IIFL_SCRIPMASTER
EIMCOELECO,NSE,EIMCOELECO.NS,Eimco Elecon (India),EIMCOELECO|Eimco Elecon (India)|Eimco Elecon (India) Limited,,INE158B01016,4040,IIFL_SCRIPMASTER
ELANTAS,NSE,ELANTAS.NS,Elantas Beck India,ELANTAS|Elantas Beck India|Elantas Beck India Limited,,INE280B01018,762653,IIFL_SCRIPMASTER
ELCIDIN,NSE,ELCIDIN.NS,Elcid Investments,ELCIDIN|Elcid Investments|Elcid Investments Limited,,INE927X01018,762658,IIFL_SCRIPMASTER
ELDEHSG,NSE,ELDEHSG.NS,Eldeco Hsg & Ind,ELDEHSG|Eldeco Hsg & Ind|Eldeco Hsg & Ind Limited,,INE668G01021,8953,IIFL_SCRIPMASTER
ELECON,NSE,ELECON.NS,Elecon Eng. Co.,ELECON|Elecon Eng. Co.|Elecon Eng. Co. Limited,,INE205B01031,13643,IIFL_SCRIPMASTER
EMIL,NSE,EMIL.NS,Electronics Mart Ind,EMIL|Electronics Mart Ind|Electronics Mart Ind Limited,,INE02YR01019,11530,IIFL_SCRIPMASTER
ELECTCAST,NSE,ELECTCAST.NS,Electrosteel Castings,ELECTCAST|Electrosteel Castings|Electrosteel Castings Limited,,INE086A01029,928,IIFL_SCRIPMASTER
ELECTHERM,NSE,ELECTHERM.NS,Electrotherm (I),ELECTHERM|Electrotherm (I)|Electrotherm (I) Limited,,INE822G01016,4469,IIFL_SCRIPMASTER
ELGIEQUIP,NSE,ELGIEQUIP.NS,Elgi Equipments,ELGIEQUIP|Elgi Equipments|Elgi Equipments Limited,,INE285A01027,937,IIFL_SCRIPMASTER
ELGIRUBCO,NSE,ELGIRUBCO.NS,Elgi Rubber Co.,ELGIRUBCO|Elgi Rubber Co.|Elgi Rubber Co. Limited,,INE819L01012,24924,IIFL_SCRIPMASTER
ELIN,NSE,ELIN.NS,Elin Electronics,ELIN|Elin Electronics|Elin Electronics Limited,,INE050401020,13423,IIFL_SCRIPMASTER
ELITECON,NSE,ELITECON.NS,Elitecon International L,ELITECON|Elitecon International L,,INE669R01026,762663,IIFL_SCRIPMASTER
ELLEN,NSE,ELLEN.NS,Ellenbarrie Indus Gases L,ELLEN|Ellenbarrie Indus Gases L,,INE236E01022,758563,IIFL_SCRIPMASTER
ELPROINTL,NSE,ELPROINTL.NS,Elpro International,ELPROINTL|Elpro International|Elpro International Limited,,INE579B01039,4471,IIFL_SCRIPMASTER
EMAMILTD,NSE,EMAMILTD.NS,Emami,EMAMILTD|Emami|Emami Limited,,INE548C01032,13517,IIFL_SCRIPMASTER
EMAMIPAP,NSE,EMAMIPAP.NS,Emami Paper Mills,EMAMIPAP|Emami Paper Mills|Emami Paper Mills Limited,,INE830C01026,10074,IIFL_SCRIPMASTER
EMBDL,NSE,EMBDL.NS,Embassy Developments,EMBDL|Embassy Developments|Embassy Developments Limited,,INE069I01010,14450,IIFL_SCRIPMASTER
EMCURE,NSE,EMCURE.NS,Emcure Pharmaceuticals L,EMCURE|Emcure Pharmaceuticals L,,INE168P01015,24398,IIFL_SCRIPMASTER
EMKAY,NSE,EMKAY.NS,Emkay Global Fin Serv,EMKAY|Emkay Global Fin Serv|Emkay Global Fin Serv Limited,,INE296H01011,13421,IIFL_SCRIPMASTER
EMMBI,NSE,EMMBI.NS,Emmbi Industries,EMMBI|Emmbi Industries|Emmbi Industries Limited,,INE753K01015,18142,IIFL_SCRIPMASTER
EMMVEE,NSE,EMMVEE.NS,Emmvee Photovoltaic Pwr L,EMMVEE|Emmvee Photovoltaic Pwr L,,INE1C6T01020,759728,IIFL_SCRIPMASTER
EMSLIMITED,NSE,EMSLIMITED.NS,Ems,EMSLIMITED|Ems|Ems Limited,,INE0OV601013,18593,IIFL_SCRIPMASTER
EMUDHRA,NSE,EMUDHRA.NS,Emudhra,EMUDHRA|Emudhra|Emudhra Limited,,INE01QM01018,9756,IIFL_SCRIPMASTER
ENDURANCE,NSE,ENDURANCE.NS,Endurance Techno.,ENDURANCE|Endurance Techno.|Endurance Techno. Limited,,INE913H01037,18822,IIFL_SCRIPMASTER
ENERGYDEV,NSE,ENERGYDEV.NS,Energy Deve. Co.,ENERGYDEV|Energy Deve. Co.|Energy Deve. Co.Limited,,INE306C01019,15049,IIFL_SCRIPMASTER
ENGINERSIN,NSE,ENGINERSIN.NS,Engineers India,ENGINERSIN|Engineers India|Engineers India Limited,,INE510A01028,4907,IIFL_SCRIPMASTER
ENTERO,NSE,ENTERO.NS,Entero Healthcare Solu L,ENTERO|Entero Healthcare Solu L,,INE010601016,22717,IIFL_SCRIPMASTER
ENIL,NSE,ENIL.NS,Entertain Net. Ind.,ENIL|Entertain Net. Ind.|Entertain Net. Ind. Limited,,INE265F01028,13192,IIFL_SCRIPMASTER
EIEL,NSE,EIEL.NS,Enviro Infra Engineers L,EIEL|Enviro Infra Engineers L,,INE0LLY01014,27213,IIFL_SCRIPMASTER
EPACK,NSE,EPACK.NS,Epack Durable,EPACK|Epack Durable|Epack Durable Limited,,INE0G5901015,22463,IIFL_SCRIPMASTER
EPACKPEB,NSE,EPACKPEB.NS,Epack Prefab Techn,EPACKPEB|Epack Prefab Techn|Epack Prefab Techn Limited,,INE0MLS01022,759251,IIFL_SCRIPMASTER
EPIGRAL,NSE,EPIGRAL.NS,Epigral,EPIGRAL|Epigral|Epigral Limited,,INE071N01016,5382,IIFL_SCRIPMASTER
EPL,NSE,EPL.NS,Epl,EPL|Epl|Epl Limited,,INE255A01020,981,IIFL_SCRIPMASTER
EQUITASBNK,NSE,EQUITASBNK.NS,Equitas Small Fin Bnk,EQUITASBNK|Equitas Small Fin Bnk|Equitas Small Fin Bnk Limited,,INE063P01018,913,IIFL_SCRIPMASTER
ERIS,NSE,ERIS.NS,Eris Lifesciences,ERIS|Eris Lifesciences|Eris Lifesciences Limited,,INE406M01024,21154,IIFL_SCRIPMASTER
ESABINDIA,NSE,ESABINDIA.NS,Esab India,ESABINDIA|Esab India|Esab India Limited,,INE284A01012,955,IIFL_SCRIPMASTER
ESAFSFB,NSE,ESAFSFB.NS,Esaf Small Finance Bank L,ESAFSFB|Esaf Small Finance Bank L,,INE818W01011,19878,IIFL_SCRIPMASTER
ESCORTS,NSE,ESCORTS.NS,Escorts Kubota,ESCORTS|Escorts Kubota|Escorts Kubota Limited,,INE042A01014,958,IIFL_SCRIPMASTER
ESSARSHPNG,NSE,ESSARSHPNG.NS,Essar Shipping,ESSARSHPNG|Essar Shipping|Essar Shipping Limited,,INE122M01019,25634,IIFL_SCRIPMASTER
ESTER,NSE,ESTER.NS,Ester Industries,ESTER|Ester Industries|Ester Industries Limited,,INE778B01029,24265,IIFL_SCRIPMASTER
ETERNAL,NSE,ETERNAL.NS,Eternal,ETERNAL|Eternal|Eternal Limited,,INE758T01015,5097,IIFL_SCRIPMASTER
ETHOSLTD,NSE,ETHOSLTD.NS,Ethos,ETHOSLTD|Ethos|Ethos Limited,,INE04TZ01018,9750,IIFL_SCRIPMASTER
EUREKAFORB,NSE,EUREKAFORB.NS,Eureka Forbes,EUREKAFORB|Eureka Forbes|Eureka Forbes Limited,,INE0KCE01017,25162,IIFL_SCRIPMASTER
EIFFL,NSE,EIFFL.NS,Euro (I) Fresh Foods,EIFFL|Euro (I) Fresh Foods|Euro (I) Fresh Foods Limited,,INE546V01010,6040,IIFL_SCRIPMASTER
EUROBOND,NSE,EUROBOND.NS,Euro Panel Products,EUROBOND|Euro Panel Products|Euro Panel Products Limited,,INE505V01016,757953,IIFL_SCRIPMASTER
EUROPRATIK,NSE,EUROPRATIK.NS,Euro Pratik Sales,EUROPRATIK|Euro Pratik Sales|Euro Pratik Sales Limited,,INE198501012,759797,IIFL_SCRIPMASTER
EUROTEXIND,NSE,EUROTEXIND.NS,Eurotex Industries,EUROTEXIND|Eurotex Industries|Eurotex Industries Limited,,INE022C01012,999,IIFL_SCRIPMASTER
EVEREADY,NSE,EVEREADY.NS,Eveready Inds. Ind.,EVEREADY|Eveready Inds. Ind.|Eveready Inds. Ind. Limited,,INE128A01029,11782,IIFL_SCRIPMASTER
EVERESTIND,NSE,EVERESTIND.NS,Everest Industries,EVERESTIND|Everest Industries|Everest Industries Limited,,INE295A01018,993,IIFL_SCRIPMASTER
EKC,NSE,EKC.NS,Everest Kanto Cylinderltd,EKC|Everest Kanto Cylinderltd,,INE184H01027,13091,IIFL_SCRIPMASTER
EXCELINDUS,NSE,EXCELINDUS.NS,Excel Industries,EXCELINDUS|Excel Industries|Excel Industries Limited,,INE369A01029,11471,IIFL_SCRIPMASTER
EXCELSOFT,NSE,EXCELSOFT.NS,Excelsoft Technologies L,EXCELSOFT|Excelsoft Technologies L,,INE606N01019,760007,IIFL_SCRIPMASTER
EXICOM,NSE,EXICOM.NS,Exicom Tele Systems,EXICOM|Exicom Tele Systems|Exicom Tele Systems Limited,,INE777F01014,22947,IIFL_SCRIPMASTER
EXIDEIND,NSE,EXIDEIND.NS,Exide Industries,EXIDEIND|Exide Industries|Exide Industries Limited,,INE302A01020,676,IIFL_SCRIPMASTER
EXPLEOSOL,NSE,EXPLEOSOL.NS,Expleo Solutions,EXPLEOSOL|Expleo Solutions|Expleo Solutions Limited,,INE201K01015,17486,IIFL_SCRIPMASTER
EXXARO,NSE,EXXARO.NS,Exxaro Tiles,EXXARO|Exxaro Tiles|Exxaro Tiles Limited,,INE0GFE01026,5352,IIFL_SCRIPMASTER
FABTECH,NSE,FABTECH.NS,Fabtech Technologies,FABTECH|Fabtech Technologies|Fabtech Technologies Limited,,INE0HF201011,760125,IIFL_SCRIPMASTER
FACT,NSE,FACT.NS,Fact,FACT|Fact|Fact Limited,,INE188A01015,1008,IIFL_SCRIPMASTER
FAIRCHEMOR,NSE,FAIRCHEMOR.NS,Fairchem Organics,FAIRCHEMOR|Fairchem Organics|Fairchem Organics Limited,,INE0DNW01011,1614,IIFL_SCRIPMASTER
FAZE3Q,NSE,FAZE3Q.NS,Faze Three,FAZE3Q|Faze Three|Faze Three Limited,,INE963C01033,12000,IIFL_SCRIPMASTER
FDC,NSE,FDC.NS,Fdc,FDC|Fdc|Fdc Limited,,INE258B01022,4898,IIFL_SCRIPMASTER
FEDFINA,NSE,FEDFINA.NS,Fedbank Financial Ser L,FEDFINA|Fedbank Financial Ser L,,INE007N01010,20322,IIFL_SCRIPMASTER
FEDDERSHOL,NSE,FEDDERSHOL.NS,Fedders Holding,FEDDERSHOL|Fedders Holding|Fedders Holding Limited,,INE417D01020,762675,IIFL_SCRIPMASTER
FEDERALBNK,NSE,FEDERALBNK.NS,Federal Bank,FEDERALBNK|Federal Bank|Federal Bank Limited,,INE171A01029,1023,IIFL_SCRIPMASTER
FMGOETZE,NSE,FMGOETZE.NS,Federal-Mogul Goetze (Ind,FMGOETZE|Federal-Mogul Goetze (Ind,,INE529A01010,1190,IIFL_SCRIPMASTER
FERMENTA,NSE,FERMENTA.NS,Fermenta Biotech,FERMENTA|Fermenta Biotech|Fermenta Biotech Limited,,INE225B01021,762680,IIFL_SCRIPMASTER
FIBERWEB,NSE,FIBERWEB.NS,Fiberweb India,FIBERWEB|Fiberweb India|Fiberweb India Limited,,INE296C01020,8159,IIFL_SCRIPMASTER
FIEMIND,NSE,FIEMIND.NS,Fiem Industries,FIEMIND|Fiem Industries|Fiem Industries Limited,,INE737H01014,13710,IIFL_SCRIPMASTER
FILATEX,NSE,FILATEX.NS,Filatex India,FILATEX|Filatex India|Filatex India Limited,,INE816B01035,24532,IIFL_SCRIPMASTER
FINEORG,NSE,FINEORG.NS,Fine Organic Ind.,FINEORG|Fine Organic Ind.|Fine Organic Ind. Limited,,INE686Y01026,3744,IIFL_SCRIPMASTER
FCL,NSE,FCL.NS,Fineotex Chemical,FCL|Fineotex Chemical|Fineotex Chemical Limited,,INE045J01034,6198,IIFL_SCRIPMASTER
FINKURVE,NSE,FINKURVE.NS,Finkurve Financial Serv L,FINKURVE|Finkurve Financial Serv L,,INE734I01027,759239,IIFL_SCRIPMASTER
FINOPB,NSE,FINOPB.NS,Fino Payments Bank,FINOPB|Fino Payments Bank|Fino Payments Bank Limited,,INE02NC01014,6579,IIFL_SCRIPMASTER
FINCABLES,NSE,FINCABLES.NS,Finolex Cables,FINCABLES|Finolex Cables|Finolex Cables Limited,,INE235A01022,1038,IIFL_SCRIPMASTER
FINPIPE,NSE,FINPIPE.NS,Finolex Industries,FINPIPE|Finolex Industries|Finolex Industries Limited,,INE183A01024,1041,IIFL_SCRIPMASTER
FSL,NSE,FSL.NS,Firstsource Solu.,FSL|Firstsource Solu.|Firstsource Solu. Limited,,INE684F01012,14304,IIFL_SCRIPMASTER
FISCHER,NSE,FISCHER.NS,Fischer Medical Venture L,FISCHER|Fischer Medical Venture L,,INE771F01041,757658,IIFL_SCRIPMASTER
FIVESTAR,NSE,FIVESTAR.NS,Five-Star Bus Fin,FIVESTAR|Five-Star Bus Fin|Five-Star Bus Fin Limited,,INE128S01021,12032,IIFL_SCRIPMASTER
FLAIR,NSE,FLAIR.NS,Flair Writing Indust,FLAIR|Flair Writing Indust|Flair Writing Indust Limited,,INE00Y201027,20372,IIFL_SCRIPMASTER
FLEXITUFF,NSE,FLEXITUFF.NS,Flexituff Ventures Int L,FLEXITUFF|Flexituff Ventures Int L,,INE060J01017,25512,IIFL_SCRIPMASTER
FOCUS,NSE,FOCUS.NS,Focus Lightg & Fixtrs,FOCUS|Focus Lightg & Fixtrs|Focus Lightg & Fixtrs Limited,,INE593W01028,6836,IIFL_SCRIPMASTER
FOODSIN,NSE,FOODSIN.NS,Foods & Inns,FOODSIN|Foods & Inns|Foods & Inns Limited,,INE976E01023,6673,IIFL_SCRIPMASTER
FORCEMOT,NSE,FORCEMOT.NS,Force Motors,FORCEMOT|Force Motors|Force Motors Limited,,INE451A01017,11573,IIFL_SCRIPMASTER
FORTIS,NSE,FORTIS.NS,Fortis Healthcare,FORTIS|Fortis Healthcare|Fortis Healthcare Limited,,INE061F01013,14592,IIFL_SCRIPMASTER
FOSECOIND,NSE,FOSECOIND.NS,Foseco India,FOSECOIND|Foseco India|Foseco India Limited,,INE519A01011,1073,IIFL_SCRIPMASTER
FRACTAL,NSE,FRACTAL.NS,Fractal Analytics,FRACTAL|Fractal Analytics|Fractal Analytics Limited,,INE212S01015,760961,IIFL_SCRIPMASTER
FRONTSP,NSE,FRONTSP.NS,Frontier Springs,FRONTSP|Frontier Springs|Frontier Springs Limited,,INE572D01014,762685,IIFL_SCRIPMASTER
NYKAA,NSE,NYKAA.NS,Fsn E Commerce Ventures,Fsn E Commerce Ventures|NYKAA,,INE388Y01029,6545,IIFL_SCRIPMASTER
UTLSOLAR,NSE,UTLSOLAR.NS,Fujiyama Power Systems L,Fujiyama Power Systems L|UTLSOLAR,,INE12UR01024,759876,IIFL_SCRIPMASTER
FUSION,NSE,FUSION.NS,Fusion Finance,FUSION|Fusion Finance|Fusion Finance Limited,,INE139R01012,11932,IIFL_SCRIPMASTER
GMBREW,NSE,GMBREW.NS,G M Breweries,G M Breweries|G M Breweries Limited|GMBREW,,INE075D01018,1168,IIFL_SCRIPMASTER
GRINFRA,NSE,GRINFRA.NS,G R Infraprojects,G R Infraprojects|G R Infraprojects Limited|GRINFRA,,INE201P01022,5054,IIFL_SCRIPMASTER
GTECJAINX,NSE,GTECJAINX.NS,G-Tec Jainx Education,G-Tec Jainx Education|G-Tec Jainx Education Limited|GTECJAINX,,INE586X01012,1129,IIFL_SCRIPMASTER
GABRIEL,NSE,GABRIEL.NS,Gabriel India,GABRIEL|Gabriel India|Gabriel India Limited,,INE524A01029,1085,IIFL_SCRIPMASTER
GATECH,NSE,GATECH.NS,Gacm Technologies,GATECH|Gacm Technologies|Gacm Technologies Limited,,INE224E01028,17888,IIFL_SCRIPMASTER
GATECHDVR,NSE,GATECHDVR.NS,Gacm Technologies,GATECHDVR|Gacm Technologies|Gacm Technologies Limited,,INE224E01036,17,IIFL_SCRIPMASTER
GAIL,NSE,GAIL.NS,Gail (India),GAIL|Gail (India)|Gail (India) Limited,,INE129A01019,4717,IIFL_SCRIPMASTER
GALAPREC,NSE,GALAPREC.NS,Gala Precision Eng,GALAPREC|Gala Precision Eng|Gala Precision Eng Limited,,INE0RE001014,25134,IIFL_SCRIPMASTER
GALAXYSURF,NSE,GALAXYSURF.NS,Galaxy Surfactants,GALAXYSURF|Galaxy Surfactants|Galaxy Surfactants Limited,,INE600K01018,1315,IIFL_SCRIPMASTER
GALLANTT,NSE,GALLANTT.NS,Gallantt Ispat,GALLANTT|Gallantt Ispat|Gallantt Ispat Limited,,INE297H01019,13337,IIFL_SCRIPMASTER
GANDHAR,NSE,GANDHAR.NS,Gandhar Oil Refine Ind L,GANDHAR|Gandhar Oil Refine Ind L,,INE717W01049,20303,IIFL_SCRIPMASTER
GANDHITUBE,NSE,GANDHITUBE.NS,Gandhi Spl. Tubes,GANDHITUBE|Gandhi Spl. Tubes|Gandhi Spl. Tubes Limited,,INE524B01027,14116,IIFL_SCRIPMASTER
GANESHBE,NSE,GANESHBE.NS,Ganesh Benzoplast,GANESHBE|Ganesh Benzoplast|Ganesh Benzoplast Limited,,INE388A01029,5614,IIFL_SCRIPMASTER
GANESHCP,NSE,GANESHCP.NS,Ganesh Consumer Product L,GANESHCP|Ganesh Consumer Product L,,INE652V01016,759012,IIFL_SCRIPMASTER
GANESHHOU,NSE,GANESHHOU.NS,Ganesh Housing,GANESHHOU|Ganesh Housing|Ganesh Housing Limited,,INE460C01014,14339,IIFL_SCRIPMASTER
GANECOS,NSE,GANECOS.NS,Ganesha Ecosphere,GANECOS|Ganesha Ecosphere|Ganesha Ecosphere Limited,,INE845D01014,6944,IIFL_SCRIPMASTER
GANGAFORGE,NSE,GANGAFORGE.NS,Ganga Forging,GANGAFORGE|Ganga Forging|Ganga Forging Limited,,INE691Z01023,4957,IIFL_SCRIPMASTER
GANGESSECU,NSE,GANGESSECU.NS,Ganges Securities,GANGESSECU|Ganges Securities|Ganges Securities Limited,,INE335W01016,21399,IIFL_SCRIPMASTER
GRSE,NSE,GRSE.NS,Garden Reach Ship&Eng,GRSE|Garden Reach Ship&Eng|Garden Reach Ship&Eng Limited,,INE382Z01011,5475,IIFL_SCRIPMASTER
GARUDA,NSE,GARUDA.NS,Garuda Construct N Eng L,GARUDA|Garuda Construct N Eng L,,INE0JVO01026,25800,IIFL_SCRIPMASTER
GRWRHITECH,NSE,GRWRHITECH.NS,Garware Hi-Tech Films,GRWRHITECH|Garware Hi-Tech Films|Garware Hi-Tech Films Limited,,INE291A01017,7982,IIFL_SCRIPMASTER
GARFIBRES,NSE,GARFIBRES.NS,Garware Tech Fibres,GARFIBRES|Garware Tech Fibres|Garware Tech Fibres Limited,,INE276A01018,1100,IIFL_SCRIPMASTER
GATEWAY,NSE,GATEWAY.NS,Gateway Distriparks,GATEWAY|Gateway Distriparks|Gateway Distriparks Limited,,INE079J01017,8510,IIFL_SCRIPMASTER
GAYAHWS,NSE,GAYAHWS.NS,Gayatri Highways,GAYAHWS|Gayatri Highways|Gayatri Highways Limited,,INE287Z01012,3693,IIFL_SCRIPMASTER
GVPIL,NSE,GVPIL.NS,Ge Power India,GVPIL|Ge Power India|Ge Power India Limited,,INE878A01011,7862,IIFL_SCRIPMASTER
GVT&D,NSE,GVT&D.NS,Ge Vernova T&D India,GVT&D|Ge Vernova T&D India|Ge Vernova T&D India Limited,,INE200A01026,16783,IIFL_SCRIPMASTER
GEECEE,NSE,GEECEE.NS,Geecee Ventures,GEECEE|Geecee Ventures|Geecee Ventures Limited,,INE916G01016,13658,IIFL_SCRIPMASTER
GEEKAYWIRE,NSE,GEEKAYWIRE.NS,Geekay Wires,GEEKAYWIRE|Geekay Wires|Geekay Wires Limited,,INE669X01032,17922,IIFL_SCRIPMASTER
GICRE,NSE,GICRE.NS,General Ins Corp of India,GICRE|General Ins Corp of India,,INE481Y01014,277,IIFL_SCRIPMASTER
GENCON,NSE,GENCON.NS,Generic Eng Cons Proj,GENCON|Generic Eng Cons Proj|Generic Eng Cons Proj Limited,,INE854S01022,2188,IIFL_SCRIPMASTER
GENESYS,NSE,GENESYS.NS,Genesys Intl Corpn,GENESYS|Genesys Intl Corpn|Genesys Intl Corpn Limited,,INE727B01026,10905,IIFL_SCRIPMASTER
GENUSPAPER,NSE,GENUSPAPER.NS,Genus P&B,GENUSPAPER|Genus P&B|Genus P&B Limited,,INE949P01018,6600,IIFL_SCRIPMASTER
GENUSPOWER,NSE,GENUSPOWER.NS,Genus Power Infrastru,GENUSPOWER|Genus Power Infrastru|Genus Power Infrastru Limited,,INE955D01029,11905,IIFL_SCRIPMASTER
GEOJITFSL,NSE,GEOJITFSL.NS,Geojit Financial Ser L,GEOJITFSL|Geojit Financial Ser L,,INE007B01023,11896,IIFL_SCRIPMASTER
GFLLIMITED,NSE,GFLLIMITED.NS,Gfl,GFLLIMITED|Gfl|Gfl Limited,,INE538A01037,1289,IIFL_SCRIPMASTER
GHCL,NSE,GHCL.NS,Ghcl,GHCL|Ghcl|Ghcl Limited,,INE539A01019,1127,IIFL_SCRIPMASTER
GHCLTEXTIL,NSE,GHCLTEXTIL.NS,Ghcl Textiles,GHCLTEXTIL|Ghcl Textiles|Ghcl Textiles Limited,,INE0PA801013,16696,IIFL_SCRIPMASTER
GICHSGFIN,NSE,GICHSGFIN.NS,Gic Housing Finance,GICHSGFIN|Gic Housing Finance|Gic Housing Finance Limited,,INE289B01019,1139,IIFL_SCRIPMASTER
GILLANDERS,NSE,GILLANDERS.NS,Gillanders Arbuthnot,GILLANDERS|Gillanders Arbuthnot|Gillanders Arbuthnot Limited,,INE047B01011,17839,IIFL_SCRIPMASTER
GILLETTE,NSE,GILLETTE.NS,Gillette India,GILLETTE|Gillette India|Gillette India Limited,,INE322A01010,1576,IIFL_SCRIPMASTER
GINNIFILA,NSE,GINNIFILA.NS,Ginni Filaments,GINNIFILA|Ginni Filaments|Ginni Filaments Limited,,INE424C01010,1142,IIFL_SCRIPMASTER
GKENERGY,NSE,GKENERGY.NS,Gk Energy,GKENERGY|Gk Energy|Gk Energy Limited,,INE1AG301022,759048,IIFL_SCRIPMASTER
GKWLIMITED,NSE,GKWLIMITED.NS,Gkw,GKWLIMITED|Gkw|Gkw Limited,,INE528A01020,17357,IIFL_SCRIPMASTER
GLAND,NSE,GLAND.NS,Gland Pharma,GLAND|Gland Pharma|Gland Pharma Limited,,INE068V01023,1186,IIFL_SCRIPMASTER
GLAXO,NSE,GLAXO.NS,Glaxosmithkline Pharma Lt,GLAXO|Glaxosmithkline Pharma Lt,,INE159A01016,1153,IIFL_SCRIPMASTER
GLENMARK,NSE,GLENMARK.NS,Glenmark Pharmaceuticals,GLENMARK|Glenmark Pharmaceuticals,,INE935A01035,7406,IIFL_SCRIPMASTER
GLOBAL,NSE,GLOBAL.NS,Global Education,GLOBAL|Global Education|Global Education Limited,,INE291W01037,1415,IIFL_SCRIPMASTER
MEDANTA,NSE,MEDANTA.NS,Global Health,Global Health|Global Health Limited|MEDANTA,,INE474Q01031,11956,IIFL_SCRIPMASTER
GSLSU,NSE,GSLSU.NS,Global Surfaces,GSLSU|Global Surfaces|Global Surfaces Limited,,INE0JSX01015,14599,IIFL_SCRIPMASTER
GLOBALVECT,NSE,GLOBALVECT.NS,Global Vec Helicorp,GLOBALVECT|Global Vec Helicorp|Global Vec Helicorp Limited,,INE792H01019,13735,IIFL_SCRIPMASTER
GLOBE,NSE,GLOBE.NS,Globe Enterprise (I),GLOBE|Globe Enterprise (I)|Globe Enterprise (I) Limited,,INE581X01021,393,IIFL_SCRIPMASTER
GICL,NSE,GICL.NS,Globe Intl Carriers,GICL|Globe Intl Carriers|Globe Intl Carriers Limited,,INE947T01022,761025,IIFL_SCRIPMASTER
GLOBUSSPR,NSE,GLOBUSSPR.NS,Globus Spirits,GLOBUSSPR|Globus Spirits|Globus Spirits Limited,,INE615I01010,17424,IIFL_SCRIPMASTER
GLOSTERLTD,NSE,GLOSTERLTD.NS,Gloster,GLOSTERLTD|Gloster|Gloster Limited,,INE350Z01018,23590,IIFL_SCRIPMASTER
GMMPFAUDLR,NSE,GMMPFAUDLR.NS,Gmm Pfaudler,GMMPFAUDLR|Gmm Pfaudler|Gmm Pfaudler Limited,,INE541A01023,1570,IIFL_SCRIPMASTER
